scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,28.0033,0.7777,0.8001,0.8001,4776.5713,0.0,0.0,0.0,4776.5713,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,28.0034,0.8845,0.7554,0.8845,4437.5336,0.0,0.0,0.0,4437.5336,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,29.0031,0.8948,0.8347,0.8948,5246.5619,0.0,0.0,0.0,5246.5619,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,29.0034,0.7777,0.8001,0.8001,4983.59,0.0,0.0,0.0,4983.59,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,29.0035,0.8845,0.7554,0.8845,4637.5654,0.0,0.0,0.0,4637.5654,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,30.0032,0.8948,0.8347,0.8948,5477.594,0.0,0.0,0.0,5477.594,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,30.0035,0.7777,0.8001,0.8001,5190.609,0.0,0.0,0.0,5190.609,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,30.0036,0.8845,0.7554,0.8845,4837.5842,0.0,0.0,0.0,4837.5842,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,31.0034,0.8948,0.8347,0.8948,5708.6321,0.0,0.0,0.0,5708.6321,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,31.0037,0.8845,0.7554,0.8845,5037.6058,0.0,0.0,0.0,5037.6058,6.0,,,,6.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,31.2016,0.7777,0.8001,0.8001,5438.6176,0.0,0.0,0.0,5438.6176,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,32.0035,0.8948,0.8347,0.8948,5939.6515,0.0,0.0,0.0,5939.6515,4.0,,,,4.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,32.0039,0.8845,0.7554,0.8845,5237.6336,0.0,0.0,0.0,5237.6336,6.0,,,,6.0,7.6034,,,,7.6034
