scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,27.3333,0.9149,0.7873,0.9642,0.8331,70.0,52.0,37.0,40.0,8.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,28.0027,0.7888,0.8788,0.7888,0.8788,61.0,52.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,28.3334,0.9149,0.7873,0.9317,0.8277,70.0,52.0,37.0,40.0,5.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,29.0029,0.7888,0.8788,0.7888,0.8788,61.0,52.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,29.3335,0.9149,0.7873,0.9281,0.8018,70.0,52.0,37.0,40.0,3.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,30.003,0.7888,0.8788,0.7888,0.8788,61.0,52.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,30.3336,0.9149,0.7873,0.9281,0.8018,70.0,52.0,37.0,40.0,3.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,30.7487,0.7424,0.7333,0.8541,0.8472,64.0,47.0,59.0,33.0,16.0,7.0,5.0,2.0,1.0,1.0,0.0,3.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,31.0031,0.7888,0.8788,0.7888,0.8788,61.0,52.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,31.3337,0.9072,0.7833,0.9204,0.7979,70.0,50.0,37.0,40.0,3.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,32.0032,0.7888,0.8788,0.7888,0.8788,61.0,52.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,32.3337,0.9204,0.7979,0.9204,0.7979,73.0,50.0,37.0,40.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,33.0033,0.7888,0.8788,0.7888,0.8788,61.0,52.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,33.3338,0.9115,0.7804,0.9115,0.7804,71.0,47.0,37.0,40.0,0.0,0.0,0.0,0.0,12.0,5.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,34.0034,0.7743,0.8712,0.7743,0.8712,61.0,51.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,34.3339,0.9115,0.7804,0.9115,0.7804,71.0,47.0,37.0,40.0,0.0,0.0,0.0,0.0,12.0,5.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,35.0035,0.7743,0.8712,0.7743,0.8712,61.0,51.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,35.334,0.9115,0.7804,0.9115,0.7804,71.0,47.0,37.0,40.0,0.0,0.0,0.0,0.0,12.0,5.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,36.0036,0.7743,0.8712,0.7743,0.8712,61.0,51.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,36.1577,0.7424,0.7333,0.8697,0.9022,64.0,47.0,59.0,33.0,18.0,13.0,5.0,2.0,1.0,1.0,0.0,3.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,36.3341,0.9115,0.7804,0.9115,0.7804,71.0,47.0,37.0,40.0,0.0,0.0,0.0,0.0,12.0,5.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,37.0037,0.7743,0.8712,0.7743,0.8712,61.0,51.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,37.1578,0.7462,0.7369,0.8647,0.884,64.0,47.0,59.0,35.0,18.0,11.0,5.0,0.0,1.0,1.0,0.0,3.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,37.3342,0.9115,0.7804,0.9115,0.7804,71.0,47.0,37.0,40.0,0.0,0.0,0.0,0.0,12.0,5.0,1.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,38.0038,0.7743,0.8712,0.7743,0.8712,61.0,51.0,34.0,31.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,38.1637,0.7462,0.7369,0.8587,0.8684,64.0,47.0,59.0,35.0,15.0,11.0,5.0,0.0,1.0,1.0,0.0,3.0
