scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5341.3424,0.9052,0.8045,0.9587,0.8125,221.0,4.0,2308.0,0.9052,0.9587,221.0,2308.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5341.4363,0.8493,0.6766,0.8493,0.6766,186.0,0.0,2386.0,0.8493,0.8493,186.0,2386.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5341.711,0.9416,0.7895,0.9416,0.7895,225.0,0.0,2215.0,0.9416,0.9416,225.0,2215.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5342.3424,0.9012,0.8005,0.9547,0.8085,220.0,4.0,2309.0,0.9012,0.9547,220.0,2309.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5342.4364,0.8493,0.6766,0.8493,0.6766,186.0,0.0,2386.0,0.8493,0.8493,186.0,2386.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5342.7112,0.9416,0.7895,0.9416,0.7895,225.0,0.0,2215.0,0.9416,0.9416,225.0,2215.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5343.3698,0.9012,0.8005,0.9547,0.8085,220.0,4.0,2309.0,0.9012,0.9547,220.0,2309.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5343.4365,0.8493,0.6766,0.8493,0.6766,186.0,0.0,2386.0,0.8493,0.8493,186.0,2386.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5343.7113,0.9416,0.7895,0.9416,0.7895,225.0,0.0,2215.0,0.9416,0.9416,225.0,2215.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5344.3699,0.8986,0.7957,0.952,0.8037,219.0,4.0,2310.0,0.8986,0.952,219.0,2310.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5344.4365,0.8493,0.6766,0.8493,0.6766,186.0,0.0,2386.0,0.8493,0.8493,186.0,2386.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5344.7114,0.9359,0.7686,0.9359,0.7686,223.0,0.0,2217.0,0.9359,0.9359,223.0,2217.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5345.37,0.8962,0.7941,0.9496,0.8021,218.0,4.0,2311.0,0.8962,0.9496,218.0,2311.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5345.4366,0.8493,0.6766,0.8493,0.6766,186.0,0.0,2386.0,0.8493,0.8493,186.0,2386.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5345.7116,0.9359,0.7686,0.9359,0.7686,223.0,0.0,2217.0,0.9359,0.9359,223.0,2217.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5346.4367,0.8493,0.6766,0.8493,0.6766,186.0,0.0,2386.0,0.8493,0.8493,186.0,2386.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5346.7116,0.9359,0.7686,0.9359,0.7686,223.0,0.0,2217.0,0.9359,0.9359,223.0,2217.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5347.4368,0.8493,0.6766,0.8493,0.6766,186.0,0.0,2386.0,0.8493,0.8493,186.0,2386.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5347.7117,0.9257,0.7642,0.9257,0.7642,222.0,0.0,2218.0,0.9257,0.9257,222.0,2218.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5348.4369,0.8493,0.6766,0.8493,0.6766,186.0,0.0,2386.0,0.8493,0.8493,186.0,2386.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5348.478,0.8937,0.7917,0.9471,0.7997,217.0,4.0,2312.0,0.8937,0.9471,217.0,2312.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5348.7118,0.9317,0.7702,0.9577,0.7997,225.0,2.0,2218.0,0.9317,0.9577,225.0,2218.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5349.437,0.8449,0.6747,0.8449,0.6747,185.0,0.0,2387.0,0.8449,0.8449,185.0,2387.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5349.4781,0.8937,0.7917,0.9471,0.7997,217.0,4.0,2312.0,0.8937,0.9471,217.0,2312.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5349.7119,0.9317,0.7702,0.9577,0.7997,225.0,2.0,2218.0,0.9317,0.9577,225.0,2218.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5350.4371,0.8449,0.6747,0.8449,0.6747,185.0,0.0,2387.0,0.8449,0.8449,185.0,2387.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5350.712,0.9317,0.7702,0.9577,0.7997,225.0,2.0,2218.0,0.9317,0.9577,225.0,2218.0
