scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,32.003,0.8406,0.7865,0.856,0.8533,80.0,55.0,59.0,35.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,3.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,32.0031,0.8451,0.7826,0.9204,0.7979,71.0,48.0,37.0,38.0,2.0,2.0,0.0,2.0,4.0,2.0,4.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,32.0033,0.7848,0.8661,0.7888,0.8788,60.0,52.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,33.0031,0.8476,0.8069,0.8697,0.9022,80.0,59.0,59.0,35.0,2.0,1.0,5.0,0.0,1.0,2.0,0.0,3.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,33.0032,0.8409,0.7712,0.9162,0.7866,69.0,48.0,37.0,38.0,2.0,2.0,0.0,2.0,6.0,2.0,4.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,33.0034,0.7848,0.8661,0.7888,0.8788,60.0,52.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,34.0032,0.8476,0.8069,0.8697,0.9022,80.0,59.0,59.0,35.0,2.0,1.0,5.0,0.0,1.0,2.0,0.0,3.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,34.0033,0.8362,0.765,0.9115,0.7804,69.0,45.0,37.0,38.0,2.0,2.0,0.0,2.0,6.0,5.0,4.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,34.0035,0.7702,0.8585,0.7743,0.8712,60.0,51.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,35.0033,0.8476,0.8069,0.8697,0.9022,80.0,59.0,59.0,35.0,2.0,1.0,5.0,0.0,1.0,2.0,0.0,3.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,35.0033,0.8362,0.765,0.9115,0.7804,69.0,45.0,37.0,38.0,2.0,2.0,0.0,2.0,6.0,5.0,4.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,35.0036,0.7702,0.8585,0.7743,0.8712,60.0,51.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,36.0034,0.8362,0.765,0.9115,0.7804,69.0,45.0,37.0,38.0,2.0,2.0,0.0,2.0,6.0,5.0,4.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,36.0035,0.8476,0.8069,0.8697,0.9022,80.0,59.0,59.0,35.0,2.0,1.0,5.0,0.0,1.0,2.0,0.0,3.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,36.0036,0.7702,0.8585,0.7743,0.8712,60.0,51.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,37.0035,0.8362,0.765,0.9115,0.7804,69.0,45.0,37.0,38.0,2.0,2.0,0.0,2.0,6.0,5.0,4.0,1.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,37.0036,0.8476,0.8069,0.8697,0.9022,80.0,59.0,59.0,35.0,2.0,1.0,5.0,0.0,1.0,2.0,0.0,3.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,37.0038,0.7702,0.8585,0.7743,0.8712,60.0,51.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,38.0036,0.8362,0.765,0.9115,0.7804,69.0,45.0,37.0,38.0,2.0,2.0,0.0,2.0,6.0,5.0,4.0,1.0
