scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,25.0023,0.7888,0.8788,0.8788,1188.1093,1066.0982,659.0607,620.057,3533.3252,3.0,1.0,2.0,0.0,6.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,26.0024,0.7888,0.8788,0.8788,1249.1156,1118.1036,693.0643,651.0602,3711.3437,3.0,1.0,2.0,0.0,6.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,26.3332,0.8387,0.716,0.8387,1412.4881,895.1656,714.1928,773.1342,3794.9808,4.0,0.0,1.0,0.0,5.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,26.6632,0.7488,0.7376,0.7488,1349.3868,1071.1479,1256.0861,683.5145,4360.1354,1.0,1.0,0.0,2.0,4.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,27.0026,0.7888,0.8788,0.8788,1310.1249,1170.1114,727.0694,682.0649,3889.3706,3.0,1.0,2.0,0.0,6.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,27.3333,0.9149,0.7873,0.9149,1482.4949,947.1707,751.1964,813.1381,3994.0001,8.0,0.0,1.0,0.0,9.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,28.0027,0.7888,0.8788,0.8788,1371.133,1222.1183,761.0739,713.069,4067.3942,3.0,1.0,2.0,0.0,6.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,28.3334,0.9149,0.7873,0.9149,1552.5022,999.1761,788.2003,853.1423,4193.021,8.0,0.0,1.0,0.0,9.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,29.0029,0.7888,0.8788,0.8788,1432.143,1274.1269,795.0795,744.0741,4245.4234,3.0,1.0,2.0,0.0,6.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,29.3335,0.9149,0.7873,0.9149,1622.5088,1051.181,825.2038,893.1461,4392.0397,8.0,0.0,1.0,0.0,9.0,3.1992,3.1295,2.2323,2.1362,2.7714
