util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean,default_all_running_rate_std,solver_called_rate_std,solver_failed_rate_std,default_optimal_rate_std,solver_optimal_rate_std,solver_feasible_rate_std,other_rate_std,solver_duration_ms_mean_std,cpu_delta_mean_std,mem_delta_mean_std
100.0,16,128,8,2,20,nodes16_pods128_prio2_util100_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,2073434.0,20734.34,4.334,4.36,0.0433,0.0436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.87716126466239,0.015805778255518623,0.014794894014114735
100.0,16,128,8,4,1,nodes16_pods128_prio4_util100_timeout01,100,100,0,0.0000,100,1.0000,79,0.7900,0,0.0000,1,0.0100,20,0.2000,21,0.2100,0,0.0000,164596.0,1645.96,-0.294,-0.59,-0.0029,-0.0059,0.0,0.0,0.40936018074033237,0.0,0.09999999999999999,0.4020151261036849,0.0,82.86412390355086,0.02175939133135644,0.02430592063217883
100.0,16,128,8,4,10,nodes16_pods128_prio4_util100_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,7,0.0700,93,0.9300,100,1.0000,0,0.0000,1027243.0,10272.43,3.406,3.088,0.0341,0.0309,0.0,0.0,0.0,0.0,0.2564323999762428,0.25643239997624284,0.0,1708.560556980257,0.01694543828845622,0.0148100975654784
100.0,16,128,8,4,20,nodes16_pods128_prio4_util100_timeout20,100,100,0,0.0000,100,1.0000,3,0.0300,1,0.0100,9,0.0900,87,0.8700,96,0.9600,0,0.0000,1883633.0,18836.33,3.302,3.113,0.033,0.0311,0.0,0.0,0.17144660799776532,0.09999999999999999,0.2876234912646614,0.3379976689896311,0.0,5241.086613480071,0.01924902201372443,0.016800465962753995
100.0,32,128,4,1,1,nodes32_pods128_prio1_util100_timeout01,100,100,0,0.0000,100,1.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,127853.0,1278.53,0.004,0.055,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.28595802984182,0.013355980766017225,0.013441511909909639
100.0,32,128,4,1,10,nodes32_pods128_prio1_util100_timeout10,100,100,0,0.0000,100,1.0000,7,0.0700,0,0.0000,0,0.0000,93,0.9300,93,0.9300,0,0.0000,1085587.0,10855.87,8.516,8.357,0.0852,0.0836,0.0,0.0,0.2564323999762428,0.0,0.0,0.2564323999762428,0.0,84.61662264757929,0.03606243743758031,0.03460433061005076
100.0,32,128,4,1,20,nodes32_pods128_prio1_util100_timeout20,100,100,0,0.0000,100,1.0000,8,0.0800,0,0.0000,0,0.0000,92,0.9200,92,0.9200,0,0.0000,2086207.0,20862.07,8.515,8.299,0.0852,0.083,0.0,0.0,0.2726599243442907,0.0,0.0,0.2726599243442907,0.0,95.59703463132645,0.04062824190638872,0.03934270432797399
100.0,32,128,4,2,1,nodes32_pods128_prio2_util100_timeout01,100,100,0,0.0000,100,1.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,122443.0,1224.43,-2.53,-2.615,-0.0253,-0.0262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3241231632474,0.02660428309103403,0.02764616801765854
100.0,32,128,4,2,10,nodes32_pods128_prio2_util100_timeout10,100,100,0,0.0000,100,1.0000,1,0.0100,0,0.0000,0,0.0000,99,0.9900,99,0.9900,0,0.0000,1083149.0,10831.49,6.433,6.554,0.0643,0.0655,0.0,0.0,0.09999999999999999,0.0,0.0,0.09999999999999999,0.0,74.03404826855211,0.028177308371643787,0.022386151924343723
100.0,32,128,4,2,20,nodes32_pods128_prio2_util100_timeout20,100,100,0,0.0000,100,1.0000,5,0.0500,0,0.0000,0,0.0000,95,0.9500,95,0.9500,0,0.0000,2082530.0,20825.3,6.282,6.364,0.0628,0.0636,0.0,0.0,0.2190429135575903,0.0,0.0,0.2190429135575904,0.0,95.41768889223502,0.033173063187051655,0.0328991480040736
100.0,32,128,4,4,1,nodes32_pods128_prio4_util100_timeout01,100,100,0,0.0000,100,1.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,134607.0,1346.07,-3.166,-3.161,-0.0317,-0.0316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.20777260807418,0.030495974233404072,0.03027947099333745
