scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
default,nodes=32_prio=4_arrival=8s,3,23.0029,0.8686,0.8378,0.8686,1213.1562,991.127,1146.1472,601.077,3951.5074,10.0,0.0,0.0,2.0,12.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,24.0025,0.908,0.7689,0.908,1296.1325,896.0911,673.0686,704.0719,3569.3641,8.0,0.0,0.0,0.0,8.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,24.0029,0.7857,0.8528,0.8528,1119.1374,1055.1292,655.0803,609.0746,3438.4215,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,24.003,0.8686,0.8378,0.8686,1289.163,1046.1319,1213.1532,635.08,4183.528,10.0,0.0,0.0,2.0,12.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,25.0025,0.908,0.7689,0.908,1367.1367,948.0943,709.0708,744.0743,3768.376,8.0,0.0,0.0,0.0,8.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,25.003,0.7857,0.8528,0.8528,1175.1428,1108.1344,691.0837,640.0776,3614.4386,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,25.0031,0.8686,0.8378,0.8686,1365.171,1101.1377,1280.1603,669.0836,4415.5526,10.0,0.0,0.0,2.0,12.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,26.0027,0.9105,0.7762,0.9105,1437.1481,1000.1027,746.0767,784.0808,3967.4083,9.0,0.0,0.0,0.0,9.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,26.0031,0.7857,0.8528,0.8528,1231.149,1161.1403,727.0877,671.081,3790.4581,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,26.0033,0.8686,0.8378,0.8686,1441.1797,1156.1441,1347.168,703.0875,4647.5793,10.0,0.0,0.0,2.0,12.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,27.0028,0.9105,0.7762,0.9105,1507.1544,1052.1074,783.0801,824.0844,4166.4264,9.0,0.0,0.0,0.0,9.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,27.0032,0.7857,0.8528,0.8528,1287.1545,1214.1454,763.0912,702.0841,3966.4752,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,27.0033,0.8686,0.8378,0.8686,1517.186,1211.1486,1414.1735,737.0903,4879.5983,10.0,0.0,0.0,2.0,12.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,28.0029,0.9158,0.7772,0.9158,1578.1667,1103.1162,820.0865,864.0913,4365.4606,9.0,1.0,0.0,0.0,10.0,1.222,0.0782,0.0735,0.0654,0.4461
