scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
default,nodes=16_prio=4_arrival=4s,3,28.0029,0.9154,0.8224,0.9931,0.8874,40.0,24.0,21.0,16.0,5.0,0.0,0.0,0.0,9.0,6.0,7.0,1.0
default,nodes=16_prio=4_arrival=4s,3,28.003,0.8267,0.842,0.8267,0.842,33.0,28.0,33.0,18.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0
default,nodes=16_prio=4_arrival=4s,3,29.0029,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,29.0031,0.9021,0.8119,0.9726,0.8251,40.0,22.0,21.0,16.0,3.0,0.0,0.0,0.0,9.0,8.0,7.0,1.0
default,nodes=16_prio=4_arrival=4s,3,29.0031,0.8267,0.842,0.8267,0.842,33.0,28.0,33.0,18.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0
default,nodes=16_prio=4_arrival=4s,3,30.003,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,30.0032,0.8267,0.842,0.8267,0.842,33.0,28.0,33.0,18.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0
default,nodes=16_prio=4_arrival=4s,3,30.0032,0.9161,0.8102,0.966,0.8199,41.0,21.0,21.0,16.0,2.0,0.0,0.0,0.0,9.0,9.0,7.0,1.0
default,nodes=16_prio=4_arrival=4s,3,31.0031,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,31.0033,0.8267,0.842,0.8267,0.842,33.0,28.0,33.0,18.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0
default,nodes=16_prio=4_arrival=4s,3,31.0033,0.9079,0.7875,0.9578,0.7971,39.0,21.0,21.0,16.0,2.0,0.0,0.0,0.0,11.0,9.0,7.0,1.0
default,nodes=16_prio=4_arrival=4s,3,32.0032,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,32.0034,0.8304,0.8542,0.8304,0.8542,33.0,29.0,33.0,18.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0
default,nodes=16_prio=4_arrival=4s,3,32.0034,0.9079,0.7875,0.9578,0.7971,39.0,21.0,21.0,16.0,2.0,0.0,0.0,0.0,11.0,9.0,7.0,1.0
default,nodes=16_prio=4_arrival=4s,3,33.0034,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
