pods_per_node,timeout_s,nodes,util,config_dir,default_all_running_rate,default_optimal_rate,solver_optimal_rate,solver_feasible_rate,solver_failed_rate,other_rate,solver_called_rate,solver_duration_ms_mean,cpu_delta_mean,mem_delta_mean,n_seeds
8,10,32,95.0,nodes32_pods256_prio1_util095_timeout10,0.0,0.0,0.0,65.0,35.0,0.0,100.0,10750.0,0.018,0.018,100
8,10,32,100.0,nodes32_pods256_prio1_util100_timeout10,0.0,0.0,0.0,62.0,38.0,0.0,100.0,10751.1,0.018,0.017,100
8,10,32,105.0,nodes32_pods256_prio1_util105_timeout10,0.0,0.0,0.0,14.0,86.0,0.0,100.0,11015.6,0.004,0.005,100
8,10,64,90.0,nodes64_pods512_prio1_util090_timeout10,25.0,0.0,0.0,0.0,75.0,0.0,0.0,--,0.000,0.000,100
8,10,64,95.0,nodes64_pods512_prio1_util095_timeout10,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,-0.000,0.000,100
8,10,64,100.0,nodes64_pods512_prio1_util100_timeout10,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,-0.000,-0.001,100
8,10,64,105.0,nodes64_pods512_prio1_util105_timeout10,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,-0.000,-0.001,100
8,20,4,90.0,nodes4_pods32_prio1_util090_timeout20,79.0,2.0,15.0,0.0,4.0,0.0,21.0,835.1,0.035,0.037,100
8,20,4,95.0,nodes4_pods32_prio1_util095_timeout20,15.0,1.0,79.0,0.0,5.0,0.0,85.0,960.1,0.043,0.047,100
8,20,4,100.0,nodes4_pods32_prio1_util100_timeout20,0.0,0.0,0.0,96.0,4.0,0.0,100.0,11157.7,0.045,0.042,100
8,20,4,105.0,nodes4_pods32_prio1_util105_timeout20,0.0,0.0,73.0,26.0,1.0,0.0,100.0,5708.0,0.050,0.052,100
8,20,8,90.0,nodes8_pods64_prio1_util090_timeout20,51.0,11.0,30.0,0.0,8.0,0.0,49.0,1043.9,0.018,0.019,100
8,20,8,95.0,nodes8_pods64_prio1_util095_timeout20,0.0,2.0,96.0,0.0,2.0,0.0,100.0,1880.3,0.040,0.036,100
8,20,8,100.0,nodes8_pods64_prio1_util100_timeout20,0.0,0.0,0.0,100.0,0.0,0.0,100.0,20441.0,0.058,0.056,100
8,20,8,105.0,nodes8_pods64_prio1_util105_timeout20,0.0,0.0,0.0,100.0,0.0,0.0,100.0,20585.1,0.050,0.052,100
8,20,16,90.0,nodes16_pods128_prio1_util090_timeout20,47.0,13.0,33.0,1.0,6.0,0.0,53.0,2525.6,0.011,0.011,100
8,20,16,95.0,nodes16_pods128_prio1_util095_timeout20,0.0,0.0,72.0,23.0,5.0,0.0,100.0,11688.7,0.038,0.037,100
8,20,16,100.0,nodes16_pods128_prio1_util100_timeout20,0.0,0.0,0.0,98.0,2.0,0.0,100.0,20749.5,0.051,0.052,100
8,20,16,105.0,nodes16_pods128_prio1_util105_timeout20,0.0,0.0,0.0,100.0,0.0,0.0,100.0,20724.8,0.047,0.051,100
8,20,32,95.0,nodes32_pods256_prio1_util095_timeout20,0.0,0.0,9.0,6.0,85.0,0.0,100.0,20764.0,0.005,0.006,100
8,20,32,100.0,nodes32_pods256_prio1_util100_timeout20,0.0,0.0,0.0,8.0,92.0,0.0,100.0,21077.0,0.004,0.004,100
