pods_per_node,timeout_s,nodes,util,config_dir,default_all_running_rate,default_optimal_rate,solver_optimal_rate,solver_feasible_rate,solver_failed_rate,other_rate,solver_called_rate,solver_duration_ms_mean,cpu_delta_mean,mem_delta_mean,n_seeds
4,10,64,100.0,nodes64_pods256_prio1_util100_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,0.000 ± 0.006,-0.000 ± 0.007,100
4,10,64,105.0,nodes64_pods256_prio1_util105_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,0.001 ± 0.009,0.000 ± 0.008,100
4,20,4,90.0,nodes4_pods16_prio1_util090_timeout20,23.0 ± 42.3,1.0 ± 10.0,74.0 ± 44.1,1.0 ± 10.0,1.0 ± 10.0,0.0 ± 0.0,77.0 ± 0.0,1086.0 ± 1655.1,0.082 ± 0.053,0.092 ± 0.050,100
4,20,4,95.0,nodes4_pods16_prio1_util095_timeout20,2.0 ± 14.1,6.0 ± 23.9,71.0 ± 45.6,14.0 ± 34.9,7.0 ± 25.6,0.0 ± 0.0,98.0 ± 0.0,3659.8 ± 4063.9,0.086 ± 0.075,0.081 ± 0.068,100
4,20,4,100.0,nodes4_pods16_prio1_util100_timeout20,1.0 ± 10.0,12.0 ± 32.7,83.0 ± 37.8,3.0 ± 17.1,1.0 ± 10.0,0.0 ± 0.0,99.0 ± 0.0,1812.9 ± 2169.0,0.080 ± 0.074,0.076 ± 0.074,100
4,20,4,105.0,nodes4_pods16_prio1_util105_timeout20,0.0 ± 0.0,6.0 ± 23.9,77.0 ± 42.3,15.0 ± 35.9,2.0 ± 14.1,0.0 ± 0.0,100.0 ± 0.0,4555.9 ± 4015.2,0.087 ± 0.078,0.074 ± 0.067,100
4,20,8,90.0,nodes8_pods32_prio1_util090_timeout20,4.0 ± 19.7,0.0 ± 0.0,96.0 ± 19.7,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,96.0 ± 0.0,1839.9 ± 2719.1,0.077 ± 0.045,0.076 ± 0.043,100
4,20,8,95.0,nodes8_pods32_prio1_util095_timeout20,0.0 ± 0.0,0.0 ± 0.0,39.0 ± 49.0,61.0 ± 49.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,15602.9 ± 7673.2,0.117 ± 0.046,0.118 ± 0.049,100
4,20,8,100.0,nodes8_pods32_prio1_util100_timeout20,0.0 ± 0.0,0.0 ± 0.0,11.0 ± 31.4,88.0 ± 32.7,1.0 ± 10.0,0.0 ± 0.0,100.0 ± 0.0,18965.4 ± 4464.8,0.124 ± 0.048,0.117 ± 0.051,100
4,20,8,105.0,nodes8_pods32_prio1_util105_timeout20,0.0 ± 0.0,0.0 ± 0.0,7.0 ± 25.6,93.0 ± 25.6,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,19755.1 ± 2987.7,0.115 ± 0.056,0.109 ± 0.046,100
4,20,16,90.0,nodes16_pods64_prio1_util090_timeout20,1.0 ± 10.0,0.0 ± 0.0,79.0 ± 40.9,19.0 ± 39.4,1.0 ± 10.0,0.0 ± 0.0,99.0 ± 0.0,8619.4 ± 7370.8,0.070 ± 0.034,0.064 ± 0.029,100
4,20,16,95.0,nodes16_pods64_prio1_util095_timeout20,0.0 ± 0.0,0.0 ± 0.0,2.0 ± 14.1,97.0 ± 17.1,1.0 ± 10.0,0.0 ± 0.0,100.0 ± 0.0,20673.5 ± 1008.1,0.108 ± 0.038,0.104 ± 0.039,100
4,20,16,100.0,nodes16_pods64_prio1_util100_timeout20,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,20688.6 ± 104.2,0.108 ± 0.033,0.105 ± 0.037,100
4,20,16,105.0,nodes16_pods64_prio1_util105_timeout20,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,20684.0 ± 99.5,0.101 ± 0.035,0.105 ± 0.040,100
4,20,32,90.0,nodes32_pods128_prio1_util090_timeout20,0.0 ± 0.0,0.0 ± 0.0,24.0 ± 42.9,48.0 ± 50.2,28.0 ± 45.1,0.0 ± 0.0,100.0 ± 0.0,19200.3 ± 3741.3,0.050 ± 0.037,0.051 ± 0.038,100
4,20,32,95.0,nodes32_pods128_prio1_util095_timeout20,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,75.0 ± 43.5,25.0 ± 43.5,0.0 ± 0.0,100.0 ± 0.0,20903.9 ± 107.7,0.076 ± 0.050,0.075 ± 0.049,100
4,20,32,100.0,nodes32_pods128_prio1_util100_timeout20,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,92.0 ± 27.3,8.0 ± 27.3,0.0 ± 0.0,100.0 ± 0.0,20862.1 ± 95.6,0.085 ± 0.041,0.083 ± 0.039,100
4,20,32,105.0,nodes32_pods128_prio1_util105_timeout20,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,94.0 ± 23.9,6.0 ± 23.9,0.0 ± 0.0,100.0 ± 0.0,20835.8 ± 98.5,0.086 ± 0.036,0.083 ± 0.036,100
4,20,64,90.0,nodes64_pods256_prio1_util090_timeout20,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,-0.001 ± 0.007,-0.001 ± 0.007,100
4,20,64,95.0,nodes64_pods256_prio1_util095_timeout20,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,0.000 ± 0.008,0.001 ± 0.007,100
4,20,64,100.0,nodes64_pods256_prio1_util100_timeout20,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,0.001 ± 0.007,-0.000 ± 0.008,100
4,20,64,105.0,nodes64_pods256_prio1_util105_timeout20,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,0.001 ± 0.008,0.001 ± 0.008,100
8,1,4,90.0,nodes4_pods32_prio1_util090_timeout01,80.0 ± 40.2,1.0 ± 10.0,19.0 ± 39.4,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,20.0 ± 0.0,838.6 ± 81.2,0.036 ± 0.014,0.039 ± 0.012,100
