id,cpu_request,mem_request,inter_arrival_us,life_time_us,priority
clusterdata_2019_a:381626230536:9,0.008544921875,0.0088043212890625,1,1041000000,0
clusterdata_2019_a:396931825002:7070,0.0069580078125,0.00650787353515625,1,31000000,0
clusterdata_2019_a:381604189658:49,0.00440216064453125,0.0128631591796875,1,61000000,0
clusterdata_2019_a:398035063769:0,0.002429962158203125,0.001953125,14,187000000,0
clusterdata_2019_a:384529625297:408,0.003520965576171875,0.00171661376953125,1,99000000,0
clusterdata_2019_a:399765273124:1372,0.00440216064453125,0.002872467041015625,1,62000000,0
clusterdata_2019_a:384428521562:371,0.005279541015625,0.0013027191162109375,1,136000000,0
clusterdata_2019_a:378312184845:108,0.00519561767578125,0.003421783447265625,1,25000000,200
clusterdata_2019_a:384930148437:1881,0.0004405975341796875,0.0011730194091796875,1,38000000,0
clusterdata_2019_a:380680403944:928,0.00360870361328125,0.00650787353515625,1,374000000,0
clusterdata_2019_a:385353497841:1122,0.03973388671875,0.0030059814453125,1,878060000000,0
clusterdata_2019_a:383164465949:1524,0.0017604827880859375,0.00215911865234375,1,70000000,0
